date,price_for_regime,market_return,regime_label,bull_probability,bear_probability,expected_return
2020-07-22,125.1992714169306,-0.0073564303864558705,Bull Market,0.9991724032353513,0.0008275967646487643,0.002338488006815618
2020-07-23,124.91889046496723,-0.002241988884762801,Bull Market,0.9999913469447179,8.65305528209106e-06,0.002343934669497024
2020-07-24,120.05416914793685,-0.03972159991717429,Bear Market,1.6176680199902167e-44,1.0,-0.004306846683161388
2020-07-27,113.77547690918536,-0.0537160449126455,Bear Market,1.0629623933660102e-82,1.0,-0.004306846683161388
2020-07-28,117.85474996510052,0.03522592816593896,Bear Market,5.8548226957971445e-24,1.0,-0.004306846683161388
2020-07-29,114.60982198922504,-0.02791942642654341,Bear Market,4.3475925701057797e-23,1.0,-0.004306846683161388
2020-07-30,115.5398741315922,0.008082193639751304,Bear Market,0.9984537638312242,0.001546236168775759,0.0023337084519096116
2020-07-31,114.64461931473949,-0.0077786241596247,Bear Market,0.6985546013180026,0.3014453986819974,0.0003391274349689986
2020-08-03,117.5233684871205,0.024800117751096272,Bear Market,7.57724866377344e-09,0.9999999924227514,-0.004306846632766328
2020-08-04,119.47657362980136,0.01648312103167339,Bear Market,0.32946924451954085,0.670530755480459,-0.002115599814456079
2020-08-05,121.24638835190898,0.014704427002392405,Bull Market,0.9440814342218931,0.055918565778106936,0.0019720868469115358
2020-08-06,121.18456734735994,-0.0005100091752782865,Bull Market,0.9999561677619181,4.383223808193971e-05,0.0023437006984194926
2020-08-07,121.3274031195536,0.001177968975596214,Bull Market,0.9999892037846493,1.0796215350668187e-05,0.0023439204156846653
2020-08-10,122.39946781421396,0.008797319759789169,Bull Market,0.999993347637263,6.652362736985161e-06,0.0023439479757808353
2020-08-11,122.62776502021526,0.001863444070460702,Bull Market,0.9999982923291437,1.7076708563421847e-06,0.0023439808621299576
2020-08-12,123.12999554908386,0.0040872054405291635,Bull Market,0.9999993538925726,6.461074274070782e-07,0.002343987922417308
2020-08-13,124.25087630295994,0.009062046035313256,Bull Market,0.9999969095765383,3.0904234617338892e-06,0.0023439716656651365
2020-08-14,123.55464243402533,-0.005619210617085678,Bull Market,0.9999488690699211,5.113093007892503e-05,0.0023436521559948194
2020-08-17,123.57521399312768,0.00016648380286603896,Bull Market,0.9999992641718175,7.358281825322171e-07,0.00234398732569902
2020-08-18,123.72376851646074,0.0012014165177243676,Bull Market,0.9999995274127653,4.725872347251773e-07,0.002343989076472156
2020-08-19,124.6866124962468,0.007752081838771133,Bull Market,0.9999992013007437,7.986992563254975e-07,0.002343986907553636
2020-08-20,124.30071787548668,-0.0030997153884453764,Bull Market,0.9999971621451521,2.837854847849168e-06,0.002343973345458299
2020-08-21,125.84962081428294,0.012383934733613,Bull Market,0.9999747519848587,2.524801514124415e-05,0.002343824299092403
2020-08-24,127.55114920373796,0.013429745797184959,Bull Market,0.999940022867779,5.997713222092231e-05,0.0023435933213294723
2020-08-25,128.20372748449088,0.005103165229318386,Bull Market,0.9999998305071681,1.6949283188554128e-07,0.0023439910923042013
2020-08-26,128.57976357303195,0.0029288203520808393,Bull Market,0.9999998690041174,1.309958826560038e-07,0.0023439913483412097
2020-08-27,129.39825764172335,0.00634547711645762,Bull Market,0.999999814598011,1.854019890213789e-07,0.0023439909864949606
2020-08-28,129.6327484946016,0.0018105239247681072,Bull Market,0.9999998895984655,1.1040153436874584e-07,0.002343991485310902
2020-08-31,128.97938747771732,-0.005052836399310354,Bull Market,0.9999913992917608,8.600708239135528e-06,0.002343935017648774
2020-09-01,130.26248290330037,0.009898909470552372,Bull Market,0.9999986014354496,1.3985645504037209e-06,0.0023439829179462022
2020-09-03,131.1094849363441,0.0064812229482056295,Bull Market,0.9999997989292775,2.010707225643604e-07,0.002343990882284738
2020-09-04,130.9309038236628,-0.0013630046968975229,Bull Market,0.9999995398909417,4.6010905830331697e-07,0.0023439891594624973
2020-09-07,129.71172102720612,-0.009355274787969232,Bull Market,0.9964050466617167,0.0035949533382833242,0.0023200827640579495
2020-09-08,130.68483898513787,0.007474157784508116,Bull Market,0.999999339947541,6.600524590889995e-07,0.002343987829671149
2020-09-09,131.19146516909476,0.003869207010854322,Bull Market,0.9999997660201855,2.3397981454329556e-07,0.0023439906634116687
2020-09-10,131.77393564109624,0.004430023286665589,Bull Market,0.9999997732842804,2.2671571962334652e-07,0.0023439907117239938
2020-09-11,132.27354345840865,0.0037842316482763136,Bull Market,0.999999809651276,1.9034872394856213e-07,0.002343990953595023
2020-09-14,133.65871579087957,0.010417576743907066,Bull Market,0.9999970159214572,2.9840785429103608e-06,0.0023439723729480597
2020-09-15,133.83521849268593,0.0013196764845881004,Bull Market,0.9999997980861728,2.019138272561839e-07,0.0023439908766773846
2020-09-16,134.39328360228404,0.004161123150434031,Bull Market,0.9999998428829164,1.5711708356605573e-07,0.00234399117461331
2020-09-17,134.41600956868749,0.00016908616654954197,Bull Market,0.9999996805815661,3.1941843383593546e-07,0.002343990095173175
2020-09-18,135.39957468204727,0.007290679467529716,Bull Market,0.9999996711155146,3.2888448547009384e-07,0.0023439900322159914
2020-09-21,135.75552423999147,0.0026254329261708427,Bull Market,0.9999998873214049,1.1267859503082721e-07,0.002343991470166538
2020-09-22,135.75720631443042,1.239039094441433e-05,Bull Market,0.9999997213940692,2.7860593075186047e-07,0.002343990366610559
2020-09-23,136.58252609721367,0.006060976134573637,Bull Market,0.9999998004491193,1.9955088077495666e-07,0.0023439908923929605
2020-09-24,136.3047466812071,-0.0020358553854213073,Bull Market,0.9999988517505691,1.1482494308974958e-06,0.002343984582751737
2020-09-25,136.02028866663383,-0.0020891073614775894,Bull Market,0.9999985473488158,1.4526511843051051e-06,0.002343982558224713
2020-09-28,137.13596270162023,0.008168806193613255,Bull Market,0.9999989482107929,1.0517892071543971e-06,0.0023439852242931455
2020-09-29,135.92552022548216,-0.008865771852867023,Bull Market,0.9957804475603849,0.004219552439615207,0.002315928656056198
2020-09-30,137.01557354474824,0.007987504553993743,Bull Market,0.9999982149127887,1.7850872113373958e-06,0.002343980347246252
2020-10-01,138.62778249389703,0.011697922685459654,Bull Market,0.9999709955633708,2.9004436629157826e-05,0.002343799315738236
2020-10-02,138.399191095194,-0.0016503190835404473,Bull Market,0.9999977325405347,2.2674594652660117e-06,0.0023439771390660995
2020-10-05,140.49707295644015,0.01504445702795717,Bull Market,0.9985347134998405,0.0014652865001595942,0.002334246835114808
2020-10-06,141.01313619194394,0.0036663950139579887,Bull Market,0.9999996726498338,3.273501662313322e-07,0.002343990042420501
2020-10-07,140.84640788246583,-0.001183059665211129,Bull Market,0.9999988436182848,1.156381715130251e-06,0.0023439845286652244
2020-10-08,140.33985665018898,-0.0036029624782329198,Bull Market,0.999994132133316,5.867866683967227e-06,0.0023439531933377037
2020-10-09,140.59830455225222,0.001839892265723409,Bull Market,0.9999996200930996,3.799069003721936e-07,0.002343989692874129
2020-10-12,139.72280532452749,-0.006246422716995041,Bull Market,0.9998530914998075,0.0001469085001924532,0.002343015154805499
2020-10-13,140.0066211952332,0.0020292178168484433,Bull Market,0.9999994374458877,5.625541123449292e-07,0.0023439884781169466
2020-10-14,140.47550098524536,0.0033433876151386303,Bull Market,0.9999995414739207,4.5852607927042234e-07,0.0023439891699906356
2020-10-15,140.17471334359766,-0.002143506339619715,Bull Market,0.9999966569571913,3.343042808578088e-06,0.0023439699855345567
2020-10-16,140.14195878129087,-0.00023369685582794706,Bull Market,0.9999989317707724,1.068229227714968e-06,0.002343985114953217
2020-10-19,140.34781207101884,0.001467813432634557,Bull Market,0.9999991652429813,8.34757018668137e-07,0.0023439866677392673
2020-10-20,140.92723472566882,0.004119977800038501,Bull Market,0.9999993909374878,6.09062512215427e-07,0.0023439881687970713
2020-10-21,139.7440089136391,-0.008431450306360782,Bull Market,0.9967121156896043,0.0032878843103957413,0.0023221250306944496
2020-10-22,140.58405227041618,0.005993305612980741,Bull Market,0.9999986308916654,1.3691083345598376e-06,0.002343983113854748
2020-10-23,141.56510915549194,0.00695419992635889,Bull Market,0.9999984813197792,1.5186802207771462e-06,0.002343982119076228
2020-10-26,139.87111490671504,-0.012038355847475363,Bull Market,0.3782971080709923,0.6217028919290076,-0.0017908535600106442
2020-10-27,138.48779565451838,-0.009939187053644926,Bull Market,0.9362135678005266,0.06378643219947343,0.0019197589348347883
2020-10-28,135.36714091549158,-0.022791554270103397,Bull Market,2.8925785193917686e-13,0.9999999999997108,-0.004306846683159464
2020-10-29,135.6464695323511,0.002061363009101882,Bull Market,0.9999933137965383,6.686203461739581e-06,0.002343947750711627
2020-10-30,136.11463201588955,0.0034454007140287345,Bull Market,0.999995393188406,4.6068115939055135e-06,0.0023439615804119554
2020-11-02,137.35546427327142,0.009074782139559923,Bull Market,0.9999769713801273,2.3028619872697792e-05,0.002343839059932796
2020-11-03,138.54478521896368,0.008621437020390373,Bull Market,0.9999860880003478,1.3911999652198253e-05,0.00234389969310522
2020-11-04,139.98564891543933,0.010346277268331703,Bull Market,0.9999649055296107,3.509447038921486e-05,0.002343758811904786
2020-11-05,139.17811536934497,-0.005785391242006297,Bull Market,0.9996975581285225,0.0003024418714775553,0.0023419807274090826
2020-11-06,139.4554256378043,0.0019905023567360534,Bull Market,0.999997879848985,2.1201510149220454e-06,0.0023439781187908717
2020-11-09,141.63955121039126,0.015540437992711304,Bull Market,0.992365435428248,0.007634564571752008,0.0022932159605144704
2020-11-10,141.90621565415245,0.0018809275506317382,Bull Market,0.999999112380119,8.876198809507279e-07,0.0023439863161568864
2020-11-11,142.08677780913763,0.0012715960144883995,Bull Market,0.9999994387641017,5.612358983099409e-07,0.0023439884868841753
2020-11-12,143.18112724200262,0.007672470557583585,Bull Market,0.9999989820315119,1.0179684880509963e-06,0.0023439854492293
2020-11-13,144.19999870863134,0.00709076305713942,Bull Market,0.9999992594215087,7.405784913754928e-07,0.002343987294105481
2020-11-16,142.637512128699,-0.010894684103025194,Bull Market,0.9207607140436145,0.07923928595638556,0.001816984493910041
2020-11-17,144.6703263798885,0.014151010876726797,Bull Market,0.9995595103089046,0.00044048969109537707,0.0023410625935999306
2020-11-18,145.4681864692471,0.005499870339170793,Bull Market,0.9999996116631558,3.883368442175007e-07,0.002343989636807931
2020-11-19,146.3492577510463,0.006038528378046918,Bull Market,0.9999996343257637,3.6567423632527445e-07,0.002343989787533285
2020-11-20,147.7533539383024,0.009548414732229529,Bull Market,0.9999981771283605,1.8228716394428907e-06,0.002343980095948107
2020-11-23,148.7132853205159,0.00647583646704973,Bull Market,0.9999996657639937,3.342360063688124e-07,0.002343989996623888
2020-11-24,148.72573315975671,8.370010976822351e-05,Bull Market,0.999999624555618,3.7544438200723667e-07,0.00234398972255362
2020-11-25,148.89579852333276,0.0011428298290378166,Bull Market,0.9999997658537586,2.341462413267342e-07,0.0023439906623047907
2020-11-26,149.43441321291374,0.0036108664400232404,Bull Market,0.9999998302531569,1.6974684322695412e-07,0.0023439910906148135
2020-11-27,150.47445958516684,0.006935777070098207,Bull Market,0.9999996951191973,3.04880802744721e-07,0.002343990191860618
2020-11-30,150.27862182329125,-0.0013023160968945447,Bull Market,0.9999994309859619,5.690140380610072e-07,0.002343988435153021
2020-12-01,151.1523133423376,0.00579697611501136,Bull Market,0.9999997374062021,2.6259379789754764e-07,0.0023439904731046746
2020-12-02,151.8907227419435,0.004873306910646774,Bull Market,0.9999997519972976,2.4800270237845194e-07,0.002343990570147701
2020-12-03,153.46038462442974,0.010281120132770969,Bull Market,0.9999967313839631,3.2686160369552504e-06,0.002343970480535025
2020-12-04,153.65458558558927,0.0012646793929367733,Bull Market,0.9999997156654455,2.8433455442682843e-07,0.0023439903285104057
2020-12-07,154.38420571174927,0.004737205256155997,Bull Market,0.9999998072876951,1.9271230497333456e-07,0.002343990937875227
2020-12-08,155.04489183332822,0.004270361972048124,Bull Market,0.9999997914279871,2.0857201290582104e-07,0.002343990832394864
2020-12-09,156.27432213957897,0.007898238478541663,Bull Market,0.9999995153529447,4.846470552442916e-07,0.0023439889962642325
2020-12-10,154.49664055851798,-0.011440586052207515,Bull Market,0.8617629527626338,0.1382370472373662,0.0014245998880082155
2020-12-11,156.1946677761713,0.010930747522921393,Bull Market,0.9999868314505169,1.3168549483011006e-05,0.0023439046376725276
2020-12-14,158.6438225096581,0.01555847975183128,Bull Market,0.9979306661846162,0.0020693338153837506,0.002330229413731622
2020-12-15,158.91784474859918,0.0017257895722621623,Bull Market,0.9999996084008451,3.9159915485671913e-07,0.002343989615110828
2020-12-16,160.4162746255116,0.009384784047383857,Bull Market,0.9999975008093377,2.4991906623826784e-06,0.0023439755978592394
2020-12-17,159.34981990880183,-0.0066702423365451215,Bull Market,0.9997947304929337,0.00020526950706628992,0.00234262700515058
2020-12-18,161.58326092539045,0.013918646637942943,Bull Market,0.9996424163572246,0.00035758364277542714,0.002341613988371369
2020-12-21,163.55226877215142,0.012112068588853664,Bull Market,0.999962918165398,3.7081834602112626e-05,0.002343745594265565
2020-12-22,165.64238170914646,0.012698511474219543,Bull Market,0.9999324337890733,6.756621092674159e-05,0.00234354284758958
2020-12-23,165.17123791441492,-0.002848396107840108,Bull Market,0.9999954937377923,4.506262207701639e-06,0.002343962249149725
2020-12-24,163.27055530571627,-0.011574068012595867,Bull Market,0.7317862461564084,0.26821375384359153,0.0005601457512621445
2020-12-25,166.42530615689557,0.01913792381186309,Bull Market,0.3191869397119813,0.6808130602880187,-0.002183985767279977
2020-12-28,167.89878026593948,0.00881470231724316,Bull Market,0.9999961054765957,3.894523404253112e-06,0.002343966317725957
2020-12-29,169.41549424464188,0.00899294405884342,Bull Market,0.9999960937519472,3.906248052774226e-06,0.0023439662397472085
2020-12-30,169.41337923111172,-1.2484257958882483e-05,Bull Market,0.9999985939922829,1.4060077172474235e-06,0.0023439828684428984
2020-12-31,171.02300620258927,0.009456327437493027,Bull Market,0.9999961262932415,3.873706758469536e-06,0.0023439664561741144
2021-01-04,174.05721661768445,0.017585989648035392,Bull Market,0.9135513641841985,0.08644863581580152,0.0017690362694016094
2021-01-05,175.4148466236464,0.007769644434959154,Bull Market,0.9999983020565879,1.6979434121425667e-06,0.0023439809268256217
2021-01-06,176.09834473311622,0.0038888951406841994,Bull Market,0.9999995671817403,4.328182597265327e-07,0.0023439893409692024
2021-01-07,179.0608922007999,0.016683312012249814,Bull Market,0.9833254834629661,0.016674516537033862,0.002233092696304917
2021-01-08,180.6397331421932,0.008778695224048082,Bull Market,0.9999982763538782,1.7236461218568615e-06,0.00234398075588104
2021-01-11,182.98154363243432,0.012880670178216265,Bull Market,0.9999180434211201,8.195657887978096e-05,0.0023434471395705724
2021-01-12,184.846686987969,0.010141469229268658,Bull Market,0.9999943942020235,5.60579797647003e-06,0.0023439549363144588
2021-01-13,184.4061683565472,-0.0023860009965268373,Bull Market,0.9999971618573389,2.8381426612280256e-06,0.002343973343544099
2021-01-14,185.7207662349124,0.0071035273761243,Bull Market,0.9999991656235883,8.343764116950601e-07,0.002343986670270623
2021-01-15,187.39560768679928,0.008977642462320688,Bull Market,0.999997718469711,2.2815302891353654e-06,0.0023439770454833173
2021-01-18,188.2332216914337,0.004459803547853495,Bull Market,0.9999995082962301,4.917037699314184e-07,0.0023439889493311597
2021-01-19,179.1904048100452,-0.049232780386269166,Bear Market,1.4682966191709045e-67,1.0,-0.004306846683161388
2021-01-20,179.17168690714297,-0.00010446363246502108,Bear Market,0.9999703957854069,2.9604214593152228e-05,0.002343795326711621
2021-01-21,184.1184044459636,0.027234562185795723,Bear Market,1.5860887887147186e-10,0.9999999998413911,-0.004306846682106505
2021-01-22,185.45445992302788,0.00723029976662874,Bear Market,0.9999854072636367,1.459273636326042e-05,0.0023438951656350195
2021-01-25,187.0063799910596,0.008333381031418029,Bear Market,0.9999807781992462,1.9221800753667094e-05,0.002343864378473488
2021-01-26,182.2226887217614,-0.025913230334649328,Bear Market,5.795017289657108e-18,1.0,-0.004306846683161388
2021-01-27,176.1588126600723,-0.03384357070774468,Bear Market,2.4794426884352396e-32,1.0,-0.004306846683161388
2021-01-28,164.65182059842635,-0.0675528666832933,Bear Market,4.0628420644255975e-129,1.0,-0.004306846683161388
2021-01-29,168.71464895942506,0.024375754013028987,Bear Market,9.176271534275497e-09,0.9999999908237284,-0.004306846622131485
2021-02-01,162.87682531513542,-0.035214577930400545,Bear Market,1.7713799225808294e-36,1.0,-0.004306846683161388
2021-02-02,166.61983955334992,0.022720565367988187,Bear Market,4.4812032752287e-07,0.9999995518796725,-0.004306843702785281
2021-02-03,172.8012337871146,0.03642718871942057,Bear Market,8.60051577699639e-26,1.0,-0.004306846683161388
2021-02-04,173.6756800127307,0.005047655687535391,Bear Market,0.9998276720775412,0.00017232792245880593,0.002342846094323005
2021-02-05,175.80129627463157,0.012164706795996683,Bear Market,0.9920285213826215,0.007971478617378536,0.0022909751994729393
2021-02-08,170.39369801678896,-0.031242728557964068,Bear Market,3.706142495185912e-28,1.0,-0.004306846683161388
2021-02-09,174.31272779646935,0.02273934197317018,Bear Market,1.4808252826486452e-06,0.9999985191747174,-0.00430683683443099
2021-02-17,181.5161979442177,0.04049392237960996,Bear Market,1.776028270776912e-32,1.0,-0.004306846683161388
2021-02-18,183.9332320581935,0.013227927912518502,Bull Market,0.9951026434851824,0.004897356514817536,0.00231142069034441
2021-02-19,184.09839107076812,0.0008975262628654859,Bull Market,0.9999841522814251,1.5847718574968865e-05,0.0023438868189505037
2021-02-22,184.0035006626425,-0.000515566001471264,Bull Market,0.9999878444167815,1.2155583218512157e-05,0.0023439113747479668
2021-02-23,183.71282123081252,-0.0015809985854348828,Bull Market,0.9999858615592825,1.413844071745601e-05,0.0023438981870821736
2021-02-24,181.50238238834075,-0.012105004457700061,Bull Market,0.12414212709300297,0.8758578729069971,-0.0034811973948229583
2021-02-25,181.64989076680916,0.0008123776029226251,Bull Market,0.9999958245588646,4.175441135469447e-06,0.0023439644493873824
2021-02-26,182.13404447235683,0.002661766749440635,Bull Market,0.9999971265568661,2.873443133854537e-06,0.002343973108766342
2021-03-01,185.9694639715563,0.020839563961854504,Bull Market,0.007204419182395057,0.992795580817605,-0.004258931251791505
2021-03-02,185.95670795284428,-6.859435920324777e-05,Bull Market,0.9999968525773612,3.147422638837341e-06,0.002343971286572792
2021-03-03,187.25429346853088,0.006953657525053411,Bull Market,0.9999963494341605,3.650565839610996e-06,0.002343967940248419
2021-03-04,184.3686937604208,-0.015530028029561646,Bull Market,0.00021633939995810758,0.9997836606000419,-0.004305407844663952
2021-03-05,184.79963616163872,0.0023346672075182633,Bull Market,0.9999968013094752,3.1986905248419506e-06,0.0023439709455983413
2021-03-08,185.9884913277932,0.006412606833789147,Bull Market,0.9999971978738208,2.8021261793078105e-06,0.0023439735830839185
